year,group,pred.m,pred.lo,pred.hi,pred.rate.m,pred.rate.lo,pred.rate.hi
2013,dth,41337.5,39970.375,43986.2,3.02338253148633,2.92339240524845,3.21710574433539
2013,inc,1139980.5,1085072.025,1180458.7,83.3770094934394,79.3610597106622,86.3375437005398
2013,rrinc,89988,85691.4,94759.7,6.5816304141129,6.26738147828504,6.93062767871509
2014,dth,40012,38808.425,41228.575,2.90105371794828,2.81483305563297,2.99135429712843
2014,inc,1100609,1050385.375,1131338.275,79.7269491312183,76.012493589211,82.1293839480396
2014,rrinc,80513,76713.95,84095.75,5.8378178411531,5.54755229950665,6.10519498979337
2015,dth,38616,37422.025,39959.875,2.77979961647334,2.69060298166322,2.87486088962823
2015,inc,1063476,1019075.225,1088986.75,76.4329668204276,73.0216509583106,78.637013594676
2015,rrinc,72499.5,69226.6,75413.775,5.22484331368911,4.95381651956702,5.44300666828826
2016,dth,37366.5,36273.8,38549.175,2.66442799496528,2.5765192775273,2.76501384844454
2016,inc,1029940,989748.125,1052771.425,73.4553963648964,70.6025328053798,75.4874862639751
2016,rrinc,65742,62784.9,68177,4.70362574322488,4.44932170230041,4.89711055316504
2017,dth,36219,35204.2,37317.625,2.56724980510376,2.47465112888258,2.66024319508149
2017,inc,998970,962763.95,1020406.1,70.7490194825322,68.0234824549787,72.7184822911264
2017,rrinc,59887.5,57113.025,62060,4.24647009423687,4.0117758419194,4.43083814491527
2018,dth,35118,34291.875,36125.525,2.47851590903473,2.38371788315066,2.56510720260724
2018,inc,970291,936053.475,991606.325,68.2855669577985,65.5721506056524,70.2978706094107
2018,rrinc,54624,52056.65,56658.65,3.85194217238991,3.6270348228153,4.02196281528922
2019,dth,34093.5,33277.875,35026.85,2.39476432899308,2.30103760323493,2.47529727550645
2019,inc,941805,911881.3,967022.85,65.9966127513361,63.4639841078799,68.0759112398617
2019,rrinc,49899,47510.45,51788.625,3.49355648441595,3.28561811063215,3.65822252445298
2020,dth,33132.5,32449.95,33933.725,2.31304501222723,2.22570528005417,2.3949430618551
2020,inc,915589.5,885801.775,945642.05,63.8637142643959,61.4928440094501,66.0603339857978
2020,rrinc,45599,43331.55,47369.5,3.1738638829391,2.98079144332885,3.33058682990634
2021,dth,32257,31571.95,32961,2.23889033205681,2.15753717853706,2.31659084690931
2021,inc,891390,860317.175,924133.675,61.9278928689413,59.5638035956684,64.1652240381291
2021,rrinc,41697.5,39535.25,43344.225,2.88937063602654,2.70848768847312,3.03395285102375
2022,dth,31402.5,30614.775,32190.85,2.171105659243,2.08989205759242,2.24614899087415
2022,inc,868321.5,835980.975,902195.675,60.1210001128112,57.6936631942799,62.3849474744492
2022,rrinc,38129.5,36105.625,39668.9,2.63200317280752,2.46920132049554,2.76716532763835
2023,dth,30597.5,29653.075,31323.3,2.10604232398248,2.02427482244629,2.18106320726489
2023,inc,847147,811529.7,880214.05,58.3590805334383,55.7164825661899,60.7156725145126
2023,rrinc,34862.5,33047.625,36355.925,2.40181188069356,2.24973661363001,2.52520192687979
