year,group,obs.m,obs.lo,obs.hi,obs.rate.m,obs.rate.lo,obs.rate.hi
2013,inc,959000,780000,1160000,70,57,84
2014,inc,928000,755000,1120000,67,54,81
2015,inc,905000,737000,1090000,65,53,78
2016,inc,884000,719000,1070000,63,51,76
2017,inc,879000,715000,1060000,62,51,75
2018,inc,861000,701000,1040000,61,49,73
2019,inc,827000,673000,997000,58,47,70
2020,inc,834000,678000,1000000,58,48,70
2021,inc,781000,635000,941000,55,45,66
2022,inc,748000,608000,901000,52,43,63
2023,inc,741000,603000,893000,52,42,63
2013,dth,45000,40000,50000,3.3,2.9,3.7
2014,dth,42000,37000,46000,3,2.7,3.3
2015,dth,42000,37000,47000,3,2.7,3.3
2016,dth,42000,37000,46000,3,2.7,3.3
2017,dth,40000,35000,44000,2.8,2.5,3.1
2018,dth,36000,32000,40000,2.5,2.3,2.8
2019,dth,33000,29000,37000,2.3,2.1,2.6
2020,dth,33000,28000,37000,2.3,2,2.6
2021,dth,31000,26000,35000,2.1,1.9,2.4
2022,dth,31000,27000,36000,2.2,1.9,2.5
2023,dth,28000,24000,32000,2,1.7,2.2
2013,rrinc,,,,,,
2014,rrinc,,,,,,
2015,rrinc,62000,50000,74000,4.44083392231326,3.58131767928489,5.30035016534163
2016,rrinc,56000,45000,68000,3.98845448405799,3.2050080675466,4.84312330207041
2017,rrinc,52000,42000,63000,3.68179459493536,2.9737571728324,4.4606357592486
2018,rrinc,48000,39000,57000,3.38264250065991,2.74839703178617,4.01688796953364
2019,rrinc,43000,35000,51000,3.02068038789939,2.45869333898788,3.58266743681091
2020,rrinc,40000,33000,48000,2.80484041688652,2.31399334393138,3.36580850026382
2021,rrinc,35000,29000,42000,2.45366556484791,2.03303718230256,2.94439867781749
2022,rrinc,32000,25000,38000,2.24533109500767,1.75416491797474,2.66633067532161
2023,rrinc,29000,24000,35000,2.03854261270714,1.68706974844729,2.46031004981896
